algoritmo,distribucion,tamano,repeticion,time_ms,comparaciones,movimientos,estable
Insercion,uniforme,100,1,0.0160,2433,2534,SI
Insercion,uniforme,100,2,0.0090,2524,2625,SI
Insercion,uniforme,100,3,0.0080,2634,2738,SI
Insercion,uniforme,200,1,0.0210,9328,9537,SI
Insercion,uniforme,200,2,0.0200,9330,9536,SI
Insercion,uniforme,200,3,0.0260,9656,9860,SI
Insercion,uniforme,500,1,0.1590,59831,60337,SI
Insercion,uniforme,500,2,0.1350,63933,64439,SI
Insercion,uniforme,500,3,0.1360,63131,63635,SI
Insercion,uniforme,1000,1,0.5410,249513,250519,SI
Insercion,uniforme,1000,2,0.4910,251301,252308,SI
Insercion,uniforme,1000,3,0.3310,249249,250258,SI
Insercion,uniforme,2500,1,1.9890,1548987,1551494,SI
Insercion,uniforme,2500,2,2.0900,1579330,1581840,SI
Insercion,uniforme,2500,3,2.0400,1551597,1554104,SI
Insercion,uniforme,5000,1,10.8790,6320004,6325009,SI
Insercion,uniforme,5000,2,14.2960,6257410,6262422,SI
Insercion,uniforme,5000,3,11.6110,6205910,6210918,SI
Insercion,uniforme,7500,1,22.4690,14250048,14257555,SI
Insercion,uniforme,7500,2,37.2790,14218048,14225558,SI
Insercion,uniforme,7500,3,22.6420,14095082,14102587,SI
Insercion,ordenado,100,1,0.0040,99,198,SI
Insercion,ordenado,100,2,0.0020,99,198,SI
Insercion,ordenado,100,3,0.0030,99,198,SI
Insercion,ordenado,200,1,0.0050,199,398,SI
Insercion,ordenado,200,2,0.0020,199,398,SI
Insercion,ordenado,200,3,0.0010,199,398,SI
Insercion,ordenado,500,1,0.0020,499,998,SI
Insercion,ordenado,500,2,0.0020,499,998,SI
Insercion,ordenado,500,3,0.0030,499,998,SI
Insercion,ordenado,1000,1,0.0070,999,1998,SI
Insercion,ordenado,1000,2,0.0050,999,1998,SI
Insercion,ordenado,1000,3,0.0040,999,1998,SI
Insercion,ordenado,2500,1,0.0090,2499,4998,SI
Insercion,ordenado,2500,2,0.0070,2499,4998,SI
Insercion,ordenado,2500,3,0.0090,2499,4998,SI
Insercion,ordenado,5000,1,0.0190,4999,9998,SI
Insercion,ordenado,5000,2,0.0470,4999,9998,SI
Insercion,ordenado,5000,3,0.0140,4999,9998,SI
Insercion,ordenado,7500,1,0.0200,7499,14998,SI
Insercion,ordenado,7500,2,0.0200,7499,14998,SI
Insercion,ordenado,7500,3,0.0300,7499,14998,SI
Insercion,reverso,100,1,0.0110,4950,5148,SI
Insercion,reverso,100,2,0.0100,4950,5148,SI
Insercion,reverso,100,3,0.0100,4950,5148,SI
Insercion,reverso,200,1,0.0340,19900,20298,SI
Insercion,reverso,200,2,0.0320,19900,20298,SI
Insercion,reverso,200,3,0.0330,19900,20298,SI
Insercion,reverso,500,1,0.2090,124750,125748,SI
Insercion,reverso,500,2,0.1950,124750,125748,SI
Insercion,reverso,500,3,0.1900,124750,125748,SI
Insercion,reverso,1000,1,0.6350,499500,501498,SI
Insercion,reverso,1000,2,0.7300,499500,501498,SI
Insercion,reverso,1000,3,0.7370,499500,501498,SI
Insercion,reverso,2500,1,4.4220,3123750,3128748,SI
Insercion,reverso,2500,2,7.6390,3123750,3128748,SI
Insercion,reverso,2500,3,7.5500,3123750,3128748,SI
Insercion,reverso,5000,1,21.5220,12497500,12507498,SI
Insercion,reverso,5000,2,21.6990,12497500,12507498,SI
Insercion,reverso,5000,3,32.7320,12497500,12507498,SI
Insercion,reverso,7500,1,46.7930,28121250,28136248,SI
Insercion,reverso,7500,2,64.4260,28121250,28136248,SI
Insercion,reverso,7500,3,64.0140,28121250,28136248,SI
Insercion,casi_ordenado,100,1,0.0020,296,395,SI
Insercion,casi_ordenado,100,2,0.0010,372,473,SI
Insercion,casi_ordenado,100,3,0.0010,348,447,SI
Insercion,casi_ordenado,200,1,0.0040,1457,1656,SI
Insercion,casi_ordenado,200,2,0.0030,1111,1310,SI
Insercion,casi_ordenado,200,3,0.0030,1395,1594,SI
Insercion,casi_ordenado,500,1,0.0130,8772,9275,SI
Insercion,casi_ordenado,500,2,0.0130,8488,8987,SI
Insercion,casi_ordenado,500,3,0.0120,8046,8545,SI
Insercion,casi_ordenado,1000,1,0.0480,34981,35980,SI
Insercion,casi_ordenado,1000,2,0.0410,29597,30596,SI
Insercion,casi_ordenado,1000,3,0.0400,26957,27958,SI
Insercion,casi_ordenado,2500,1,0.3150,200650,203149,SI
Insercion,casi_ordenado,2500,2,0.3050,181559,184058,SI
Insercion,casi_ordenado,2500,3,0.3280,188448,190947,SI
Insercion,casi_ordenado,5000,1,1.1810,818497,823496,SI
Insercion,casi_ordenado,5000,2,0.9790,785999,790998,SI
Insercion,casi_ordenado,5000,3,0.9690,751215,756214,SI
Insercion,casi_ordenado,7500,1,2.9950,1745620,1753119,SI
Insercion,casi_ordenado,7500,2,6.9700,1735898,1743397,SI
Insercion,casi_ordenado,7500,3,2.6820,1746696,1754197,SI
Insercion,duplicados,100,1,0.0060,2247,2346,SI
Insercion,duplicados,100,2,0.0060,2383,2483,SI
Insercion,duplicados,100,3,0.0060,2377,2478,SI
Insercion,duplicados,200,1,0.0190,9714,9914,SI
Insercion,duplicados,200,2,0.0220,9846,10049,SI
Insercion,duplicados,200,3,0.0170,10412,10615,SI
Insercion,duplicados,500,1,0.1130,58009,58511,SI
Insercion,duplicados,500,2,0.1000,61224,61727,SI
Insercion,duplicados,500,3,0.1140,62221,62725,SI
Insercion,duplicados,1000,1,0.4120,245562,246564,SI
Insercion,duplicados,1000,2,0.4460,242660,243667,SI
Insercion,duplicados,1000,3,0.4700,256193,257199,SI
Insercion,duplicados,2500,1,2.2130,1570088,1572592,SI
Insercion,duplicados,2500,2,4.3130,1583987,1586494,SI
Insercion,duplicados,2500,3,4.5410,1550421,1552925,SI
Insercion,duplicados,5000,1,14.3870,6217243,6222249,SI
Insercion,duplicados,5000,2,8.0770,6187067,6192072,SI
Insercion,duplicados,5000,3,10.8250,6307305,6312307,SI
Insercion,duplicados,7500,1,28.0280,13965575,13973077,SI
Insercion,duplicados,7500,2,21.7290,14224329,14231834,SI
Insercion,duplicados,7500,3,27.7390,13951188,13958695,SI
Mezcla,uniforme,100,1,0.0160,532,1344,SI
Mezcla,uniforme,100,2,0.0390,539,1344,SI
Mezcla,uniforme,100,3,0.0130,547,1344,SI
Mezcla,uniforme,200,1,0.0450,1278,3088,SI
Mezcla,uniforme,200,2,0.0660,1292,3088,SI
Mezcla,uniforme,200,3,0.0260,1281,3088,SI
Mezcla,uniforme,500,1,0.0940,3856,8976,SI
Mezcla,uniforme,500,2,0.0730,3833,8976,SI
Mezcla,uniforme,500,3,0.1120,3861,8976,SI
Mezcla,uniforme,1000,1,0.1420,8690,19952,SI
Mezcla,uniforme,1000,2,0.1240,8736,19952,SI
Mezcla,uniforme,1000,3,0.1280,8699,19952,SI
Mezcla,uniforme,2500,1,0.4040,25111,56808,SI
